,question,answer
72,흡연석 있나요?,아니요 없습니다
81,흡연 가능한가요?,아니요
130,휴게실도 따로 있어요?,휴게실이 따로 있는 건 아니고 자습실도 있고 교실은 많습니다
143,휘핑크림 올려드릴까요?,아니요 그냥 주세요
145,휘핑크림 올려 드릴까요?,아니요
147,휘핑크림 얹어 드릴까요?,아니요 빼주세요
149,휘핑 크림 올라가는데 괜찮으세요?,아뇨 빼 주세요
170,후불로도 결제가 가능한가요?,아니요 선불로만 결제 가능합니다
172,후불로도 가능한가요?,아니요 저희는 선불만 가능합니다
206,회화 디자인 분야를 다하나요?,아뇨 일반적으로 그려보고 잘하는 쪽으로요
222,회원비는 있나요?,아뇨 없어요
224,회원분이신가요?,회원이 아니에요
231,회원가입해야 이용 가능한가요?,아니요 게스트로도 이용 가능하세요
240,회원가입을 해야지만 이용이 가능할까요?,아니요 비회원도 되고 회원도 이용 가능합니다
242,회원가입을 해야지만 이용이 가능한가요?,아니요 비회원도 이용 가능하세요
243,회원가입을 해야지만 이용이 가능한가요?,아니요 비회원도 이용 가능하세요
244,회원가입을 해야지만 이용이 가능한가요?,아니요 비회원으로도 할 수 있습니다
245,회원가입을 해야지만 이용이 가능 한가요?,아니요 비회원으로도 이용 가능합니다
246,회원가입을 해야지만 이용을 할 수 있나요?,아니요 비회원도 이용 가능합니다
248,회원가입을 해야지 이용할 수 있나요?,아니요 비회원으로도 가능해요
250,회원가입을 해야지 이용 가능한가요?,아니요 비회원으로도 이용 가능하세요
251,회원가입을 해야만 이용이 가능한가요?,아니요 비회원도 가능합니다
252,회원가입을 해야만 이용이 가능한가요?,아니요 비회원도 이용할 수 있습니다
253,회원가입을 해야만 이용이 가능한가요?,아니요 비회원으로 이용 가능하세요
254,회원가입을 해야만 이용이 가능한가요?,아니요 회원가입을 하지 않아도 이용 가능합니다
255,회원가입을 해야만 사용이 가능한가요?,아니요 비회원도 이용 가능하세요
278,회원 요금이에요?,아니요 회원가입하시면 800원입니다
289,회색 있어요?,회색인데 완전 회색은 아니고요
336,화학물질은 아니고?,"화학은 아니고 천연이지요, 바닷물 속의 진흙하고 화산 폭발할 때 나오는 재하고 바닷물에 들어가서 굳어진 돌가루가 오땡큐 제품 속에 들어 있어요"
431,화장실은 남녀 분리 되어 있어요?,아뇨
463,화장실 남녀 공용인가요?,아닙니다
579,혹시라도 예전에 여권 만드신 여권 있으신가요,아니요 아니요 없어요
595,혹시 후불도 가능한가요?,아니요 선불만 가능합니다
600,혹시 회원가입을 해야지만 이용이 가능한가요?,아니요 비회원으로도 이용 가능합니다
601,혹시 회원가입을 해야지만 사용이 가능한가요?,아니요 비회원도 사용 가능합니다
606,혹시 혹시 차량이 공동명의거나 법인차량은 아니십니까?,아닙니다.
618,혹시 할인되는 거 있어요?,아뇨 이거는 행사 제품이라서 따로 할인 안되세요
639,혹시 포켓볼 당구대도 있나요?,아니요 저희 가게에는 포켓볼 당구대는 없어요
667,혹시 커플석이라든지 이런 건 있나요?,아니요 커플석은 없습니다
670,혹시 커플석 있어요?,아니요 커플석은 없습니다
673,혹시 커플석 같은 것도 있나요?,아니요 커플석은 없습니다
678,혹시 카카오페이도 되나요?,아니오 안돼요
696,혹시 체크카드 되나요?,아니요
702,혹시 찾으시는 제품 있으세요?,아니요 찾는 건 따로 없고 그냥 편하게 입으려고요
715,혹시 차량번호는 알고 계십니까?,아뇨 그거를 몰라서 이제 어떻게 돼야 하나
729,혹시 차량번호 기억하고 계십니까?,아니요 번호는 잘 모르겠어요.
756,혹시 지금 거주하는 분이 없다면 지금이라도 혹시 계량기 숫자 확인 하실 수 있으시겠습니까?,아니에요. 못하지요 집을 이사를 벌써 한 달 됐는데
760,혹시 주차할 수 있는 시설은 있을까요?,아니요 주차 시설은 없습니다
761,혹시 주차할 수 있는 공간은 있나요?,아니요 주차할 데는 없습니다
770,혹시 주말에도 영업하시나요?,아니요 주말은 쉽니다
779,혹시 젓가락은 대나무 젓가락 주시나요?,아니요
793,혹시 장애인은 아니시구요,아닙니다.
827,혹시 이거 환불 가능한가요?,아니요 환불은 불가합니다. 
856,혹시 원장 선생님 계시나요?,아뇨 지금은 출장 가셨어요
903,혹시 여기서 만드시는가요?,수제는 아니에요
908,혹시 여기 흡연 가능한가요?,"아니요 죄송하지만, 이 건물은 금연구역입니다"
936,혹시 여기 배달되시는가요?,아니오 저희 배달은 안 해요
946,혹시 엘피지거나 그렇지는 않으시구요,그런 건 아니고요
957,혹시 양도인한테 서류는 받으셨습니까?,아니 우리가 양도인이라니까요
959,혹시 약 성분에 졸리는 성분도 있나요?,아니요 졸리는 성분은 없습니다
967,혹시 아이리시 커피도 판매하나요?,아니요 아이리쉬 커피는 판매하지 않습니다. 
968,혹시 아메리카노에 시럽 넣어드릴까요?,아니요 두 잔 다 그냥 주세요
994,혹시 세탁 여기에서 바로 하시나요?,아니요 세탁은 여기서 안하고 저희가 맡겨드려요
995,혹시 세일해요?,아니요
1003,혹시 선생님 혹시 차량번호는 기억나십니까?,아니 차량번호도 기억 안 나고 현금 결제를 했거든요 그리고 놓고 내린게 아니라 기사님한테 충전을 맡겼거든요
1012,혹시 선생님 그 지금 그 영업용 차량등록하시는 거에요,아니에요 아니
1020,혹시 선물 포장되나요?,아니요 안 됩니다
1075,혹시 배우자님 차량을 혹시 끝번호가 생님 선생님 차량하고 같은 동일한 뭐 짝수나 동일한 홀수인가요,아니 아니야
1078,혹시 배달은 되는가요?,아니요 돈가스가 식어서 배달은 안 하고 포장은 합니다
1088,혹시 방학 때 수학을 선행 한 번 했어요?,아뇨 안했어요
1089,혹시 방에서 식사를 해도 괜찮나요?,조리하시는 것만 아니면 드시는 건 가능해요
1095,혹시 발급받는데 오래 걸리나요,아닙니다.
1110,혹시 뭐 따로 지금 혜택받고 있는 차량 있습니까?,아니요. 없어요.
1114,혹시 물수건 있어요?,아니요 물수건은 없어요
1116,혹시 문 닫는 날도 있나요?,아니요 항상 열려 있습니다
1129,혹시 몇 개월 연속해서 끊으면 할인되고 이런거는 없나요?,금액이 많이 할인 되는거는 아니지만 조금 할인돼요
1138,혹시 머리도 아프신가요?,아니요 머리는 괜찮습니다
1158,혹시 두분 다 못오시는 경우십니까?,아니 머 저는 갈 수 있다 하더라도 인감을 떼 가지고 주고 바로
1200,혹시 김치도 파나요?,아니요 필요하면 근처 편의점에서 사서 드셔도 돼요
1201,혹시 김치나베 같은 것도 포장이 되나요?,아니요 저희 포장 용기 자체가 없어서 포장은 안돼요
1207,혹시 기존에 갖고 계신 여권이 그러면 유효기간이 남아 있으신 건가요 ,아니요 유효기간 지났어요
1220,혹시 그 차주분이랑 차 이전 받으실 분 두 분 다 오시는 거세요,아니요 아니요
1243,혹시 국수 여기서 밀으신거에요?,아니요
1260,혹시 계산은 카드로도 가능 한가요?,아니요 카드는 안 됩니다
1275,혹시 개인간에 중고차 이전하시는 거죠.,아니 이전이 아니고 내가 팔라고 차를
1303,호텔에 편의시설이 있나요?,헬스장은 무료이고 사우나도 있는데 탕이 있는 사우나는 아니에요
1334,호주는 일 년 단위로 많이 가나요?,보통 추천드리는 기간이 있는 게 아니고 개인 사정에 따라 달라요
1345,혈압약이랑 같이 먹어도 돼요?,해열진통제만 아니면 혈압약이랑 같이 드셔도 됩니다
1350,현차가 선생님 소유로 되어 있습니까?,아니오 아버지 소유로 되어 있습니다.
1351,현재는 그러시면 명의가 아버님 명의로 되어 있으신 건가요,아니요 아니요 그 저 고모부님으로 돼 있어요.
1417,현금을 해야 되는 거예요,아니요 선생님 자동이체시면 다시 한 번 자동이체 되실 거니까요 그 계좌에 잔고만 있으시면 되시구요
1438,현금으로 하면 할인해주시나요?,아니요 카드랑 가격 똑같아요
1457,현금으로 사면 할인 가능한가요?,아니요 그 부분은 어렵습니다
1467,현금으로 내야 돼요?,아니오 카드 하셔도 되죠 상관없습니다
1469,현금으로 구입하면 더 저렴한가요?,아니요
1485,현금영수증으로 해 드릴까요?,아뇨 그냥 일반 영수증으로 주세요
1510,현금영수증 해드릴까요,아뇨 일반 영수증 주세요
1518,현금영수증 필요하세요?,아니요 현금영수증 괜찮아요
1520,현금영수증 줘요,아니요 이거는 현금영수증 안돼요
1585,현금 영수증 맞으세요?,"아니요, 그냥 영수증이요"
1622,헤드폰 쓰시나요?,아니요 스피커에서 안 나와요
1631,헤나염색은 아니죠?,헤나는 아니에요. 우리는 그런 거 안 해요. 그거는 전부 여자들 하는 거죠
1669,허리 묶는 거에요?,아뇨
1714,햄버거 2층에서 먹을 수 있나요?,아니요 지금은 청소 중이에요
1761,해물 덮밥은 해물하고 고추로 만드나요?,아니요 해물과 빨간 양념이요
1800,할인카드나 적립카드 있어요?,아니요
1801,할인카드나 적립카드 같은 거 있어요?,아니요 저희는 따로 없고요 쿠폰은 있어요
1860,할인되는 건 있나요?,아뇨 형제 할인밖에 없어요
1879,할인 적용되는 상품인가요?,"아니요, 그 제품은 할인 적용 안되는 상품입니다."
1903,한참 기다려야 해요?,아뇨 오래 안 기다려도 돼요 5분에서 6분 정도요
1976,"한 필지인데, 건물이 있는거예요?","아뇨, 여기 옆에가 3800평인데 그 중 1100평이 제 것이에요"
1977,한 판은 주문이 불가능한가요?,아뇨 가능하세요
1991,한 줄에 일 인분이에요?,아니요 일 인분이 두 줄이에요
2012,한 시간으로 해요?,아뇨 쉬는 시간 없이 두 시간이에요
2102,한 번 입어보세요,아니에요
2226,한 개도 배달해주나요?,아니요 두 그릇 이상부터요
2243,학원은 다니고 있나요?,아뇨
2251,학용품을 학부모한테 구매해오라고 해서?,아뇨 저희가 다 준비를 합니다
2262,학생이 여자에요?,"아니요, 남자"
2360,하얀색 패딩은 가격이 다른가요?,아니요 다른 패딩들과 세탁비는 같습니다
2397,하루에 두 과목을 할 수 있나요?,아니요 두 과목을 하루에 다 하지는 않죠
2398,하루에 10만 원이요?,"아니요, 한 달에 10만 원, 하루에 7천 원입니다"
2501,피자는 다 8000원에 동일 금액인가요?,아니에요 6000원부터 13000원까지 있어요
2510,피자 라지에 콜라가 서비스로 오나요?,아니요 콜라는 따로 주문해주세요
2523,피아노 직접 하실려는건가요?,아니요 자녀가 중삼 올라가는데
2535,피시방에 이벤트라든지 이런 건 있을까요?,아니요 이벤트는 없습니다
2541,피부가 이래서 대상포진인가 싶어가지고,이 약 드시고 가라 앉으면 다행이고 아니면 신경외과나 정형외과 가보셔야돼요
2556,플룻도 하네예?,아니요 이건 악기 설명이고 우쿨렐레 하구요 단소 리코더 오카리나 이런거 추가적으로 들어가고 있거든요
2560,플러스세요?,아뇨 그냥 나인
2611,프랜차이즈에요?,저희 매장은 프랜차이즈가 아닙니다
2619,프라이드치킨 순살도 있나요?,아니요 프라이드 치킨은 순살이 없습니다
2645,표백 전후 라는거는 표백은 뭐 락스?,아니 락스로 하면 안되요
2723,포장해드릴까요?,아뇨 하고 갈게요
2725,포장해가면 포장비 따로 드려야 하나요?,아뇨 똑같아요
2735,포장할 건데 반찬도 홀 식사와 동일하게 포장해주시나요?,아니요 김치만 나가고 있습니다
2786,포장 같은 거도 돼요?,아뇨 포장은 안돼요
2803,포인트 적립해 드릴까요?,아니요 포인트 없어요
2806,포인트 적립하시나요?,아니요 그냥 결제해주세요
2892,평소 귀걸이를 자주 하시나요?,아니요  거의 안 해요
2933,편도결석에 먹는 약이 약국에도 있어요?,아니요 그거는 이비인후과 가서 제거를 하셔야 되는겁니다
2960,펜 전체 테두리가 18K는 아닌가요?,"아니에요, 촉만 18K에요"
2984,펄이 떨어지지 않아요?,아니요
3028,팔찌 종류 있을까요?,행사하는 거는 이 쪽에 두 가지 있고 아니면 기본 두 줄짜리가 여기 있습니다
3149,티렉스 저게 약간 매콤한가요?,아니요 매콤한 건 크리스피버거에요
3211,트라제엑스지 이천삼년식 확인되는 데 맞습니까?,이천사년식 아니에요
3387,토마토 주스 생과일인가요?,냉동과일아니고 생과일입니다
3405,테이크아웃하면 할인되나요?,아뇨 테이크아웃하셔도 가격은 같습니다
3407,테이크아웃하면 할인 되나요?,아뇨 테이크아웃 할인 없습니다
3419,테이크아웃은 더 싼가요?,아니요 저희는 똑같아요
3433,테이크아웃 돼요?,아니요
3434,테이크 아웃하시는 건가요,아니요 여기서 먹을 건데요
3435,테이크 아웃하면 가격이 더 저렴한가요?,"아니요, 테이크 아웃해도 가격은 똑같아요"
3440,테이크 아웃 하시는 건가요?,"아니요, 마시고 갈게요"
3463,테두리의 패턴은 가죽인가요?,이건 가죽은 아니고 가격은 십삼만 구천 원입니다
3470,텀블러에 넣으면 양이 적어지나요?,"아니요, 적어지지 않아요"
3479,텀블러 할인 있나요?,"아니요, 텀블러 할인은 없어요"
3507,택시 번호 알고 계신가요 선생님,아니 번호가 이제 몰라가지고 근데 결제를 카드로 했었거든요
3510,택배로 보내주실 수 있나요? ,아니요 직접 오셔야 합니다
3529,태권도 해봤어요?,아뇨 가르쳐 보려고
3550,탕수육 소자 보다 더 작은 양도 있나요?,아뇨 이게 제일 작아요
3562,탈색이에요?,탈색은 아니에요
3566,탈색은 전에 해보셨나요?,아니요 처음이에요
3582,타이레놀은 처방받은걸로 구입하는 거에요?,아니요 그냥 구입할 수 있습니다
3591,키즈 사이즈도 나오나요?,"아니요, 키즈 사이즈는 없습니다. "
3594,키오스크에서 현금결제되나요?,아니요 키오스크에서는 카드 결제만 가능합니다
3639,클랜즈는 그럼 생과일로 직접 짜서 주는거에요?,저희가 여기서 해드리는건 아니고 저희가 이제 제품을 받아서 팩처럼 개별로 이렇게 포장이 돼있어요
3644,큰 평수를 찾는 건 아니죠?,큰 평수는 아니라고요
3684,크루아상 안에 초코나 생크림이 들어 있나요?,아뇨 크루아상 겉에 초코를 바른 겁니다
3696,크기마다 다른데 기장이 길어요?,아뇨 엉덩이 덮일 만큼 길어요
3732,퀵비 따로 드려야 되나요?,아뇨 배달료는 저희가 부담합니다
3779,쿠폰 10개 모으면 음료 종류 상관없이 한 잔 무료예요?,아뇨 아메리카노 하나만 가능하세요
3810,콜센터라고예 그러면 여 저 성서 지부 좀 부탁합시다. 차량 검사에 대해서 알아볼라 카는데예,검사는 선생님 우선은 그 저희 등록사업소에서 검사를 하는 게 아니라서 구청 안전공단이나 그 쪽으로 물어보셔야 되거든요
3828,콜라는 주는 건가요?,아니요 따로 주문하셔야 돼요
3848,콜라 큰 사이즈로 되나요?,아니요 콜라는 큰 사이즈가 없습니다
3881,콜드 폼 카푸치노는 위에 차가운 폼이 올라가서 아이스만 가능한 음료인데 따뜻한 거 원하시는 거예요?,"아니요, 아이스요"
4012,컴퓨터 사양은 베틀그라운드 그런 거는 다 돌아갈 정도 되나요?,최고 사양이나 그런 거는 아니지만 기본적인 건 다 돌아갑니다
4034,컨버스 척 테일러 70 270사이즈 남아있나요?,아니요 죄송하지만 그 제품은 전량 품절이에요 
4039,커피찌꺼기 남은 거 있어요,아뇨 지금은 커피찌꺼기 없습니다
4041,커피종류 말씀하시는건가요?,아니요 커피말구요
4058,커피에 들어가는 건가요?,아뇨 커피는 들어가지 않습니다
4088,커피는 시럽은 넣어드릴까요?,아니요 시럽 넣지 말고 주세요
4098,커피가 들어갔나요?,아뇨 커피 안 들어가요
4100,커피가 들어간 거에요?,아뇨 커피는 들어가지 않습니다
4163,커플석도 있나요?,아니요 커플석은 따로 없습니다
4175,커플석 같은 거는 있어요?,아니요 커플석은 따로 없습니다
4199,커트도 같이 하려고 하는데 포함된 건가요?,"아니요, 커트 비용은 따로 받고 있습니다."
4249,캐리어에 넣어 주실 수 있나요?,아뇨 캐리어는 2개 이상부터 가능해요.
4368,카카오페이는 받으시는가요?,아뇨 현금과 카드 두 가지 있습니다
4407,카카오페이 결제가 가능한가요?,"바코드 결제만 아니면 삼성페이, 무슨 페이 다 가능하세요"
4414,카카오페이 결제 돼요?,아뇨 저희는 삼성페이만 돼요
4471,카드로 하시겠어요?,아니요 현금이요
4576,카드 써도 괜찮겠어요?,아뇨 카드는 안 받는데요
4663,카드 결제되나요?,아뇨 이벤트 중이라 현금결제만 가능합니다
4679,카드 결제도 가능한가요?,아니요 현금만 받고 있습니다
4711,카드 결제 가능한가요?,"아뇨, 현금만 가능합니다"
4844,치즈케이크 있나요?,아니요 치즈케이크는 지금 없어요
4932,출력할 때는 말씀드리고 뽑아야 하나요?,아뇨 뽑고 말씀해주셔도 돼요
4972,추가로 간식 같은 것들 주나요?,매일은 아니지만 목 말라하면 우유 나눠줘요
4984,추가 요금 있나요?,아뇨 없어요
4988,추가 비용 이런 거 드려야 하나요?,아뇨 그런 거 없고요
5040,초코머핀 데워 드릴까요?,아니요 그냥 주세요
5061,초등학생인가요?,아니에요 중삼이에요
5077,초등학교 라이팅 교재 말씀하시는 건가요?,아니요 성인반 교재요
5079,초등학교 때까지 미술을 계속 한 친구인가요?,아뇨
5225,체인점이에요?,아뇨
5233,체납고지서를 받았는데 이거 내용 좀 알려구요,음 지금 확인해 보니까 납부가 십일월분이 납부가 아직 안 된 것으로 나와 있으시구요 금액이 전체 다 납부가 안 된 건 아니구요 금액은 이천이백삼십원으로 확인이 되시는데요 원래 십일월 분은 십일월말까지 납부를 해 주셔야 되시는데 납부는 십이월 이일날 하셨는데 가산금 부과되지 않은 원래 부과되었던 금액으로 납부를 하셔가지고 고 가산금 부분이 체납된 것으로 확인이 됩니다.
5290,청소년들도 24시간 이용되나요?,아니요 밤 10시되면 나가셔야 돼요
5295,청소년 이용시간 말씀하시는 거죠?,아니요 성인 이용시간이요
5328,천으로 된 핸드메이드로 만들어놨는거는 없어요?,천으로 된 거는 아직까지 여름이 아니라서 잘 없어요 
5380,처방전 없이 구매 가능한 약이 있나요?,아뇨 처방전 없이는 구매가 힘듭니다.
5383,처방전 돌려주시나요,아니요 처방전은 약국이 보관합니다
5405,찾으시는 제품이 있나요,아뇨 좀 살펴볼게요
5446,착용해봐도 되나요?,"아니요, 눈으로만 봐주세요. "
5481,차주 분 오실 겁니까?,아니 차 팔 사람 살 사람 다 갈건데
5489,차주 도장 인감도장 이어야 돼요,아니요. 그냥 도장이시면 돼요
5510,차명이 에이식스 삼점영 티디아이 카트로 맞으시죠,에이세븐인데 에이식스가 아니고요
5589,차량번호 확인 가능하지가 않을까요 선생님,아뇨 나 저 차번호 외우지도 못했는데
5592,차량번호 혹시 확인 가능합니까?,아니오 이야기만 해 주시면 된다고요 필요한 서류
5752,차가운 걸로 드릴까요?,아니요 뜨거운 걸로 주세요
5755,차가 좀 큰가요?,아니요
5764,차가 가지고 와야 됩니까?,아니면 번호판을 때서 반납하시고 새로운 번호 받으실 새로운 번호판으로 교체해서 받으시면 되세요
5765,차 혹시 이전하실 때 차주분과 차 이전 받으실분 두 분 다 같이 방문 가능하신거세요,아니오 파는 사람은 못가요
5829,짬뽕이면 면하고 해서?,아니요 면 없이 밥은 그냥 뒤에서 담아드시면 돼요
5854,짬뽕에 닭 육수 쓰는 거예요?,아니요 돼지고기만 씁니다
5891,짝퉁이에요 진짜예요?,진짜는 아니고 짝퉁 중에서도 A급 제품이에요
5909,짜장면 한 그릇도 배달되나요?,아니요 만 원 이상 되어야지 배달 가능합니다
6053,직접 중국어 배우시려고요?,아뇨 우리 애가
6063,직접 방문 가능하신 거세요,아뇨 아니면 애가 방문 못 하면 제가 하면 안 되죠. 엄마가
6075,직장인이세요?,아뇨 그냥 취미로 배우려고요
6148,지금은 가방 다 세일합니까?,전부 다 세일품목은 아니에요
6182,지금 파마할 수 있나요?,아니요 1시간 대기하셔야 해요
6184,지금 파마 가능한가요?,"아뇨, 조금 기다리셔야 합니다."
6225,지금 주소가 대구로 되어 있는 분께서 이전을 받으시는 거 맞습니까?,아니 대전인데요
6246,지금 제 머리에서 스트레이트 하면 너무 생머리 되는 거 아니예요?,"아니요, 굵게 마는 스트레이트도 있습니다"
6260,지금 자리가 꽉 차 있어요?,"아니요, 여자전용 자리 남아있습니다"
6273,지금 인근에 학교나 이런 것 관계있습니까?,"아니요, 학교랑은 상관없어요"
6360,지금 생리하시거나 곧 생리 날짜인가요?,아니요 저번 주에 끝났어요
6367,지금 상가주택 말고 임대로 나온 건 있어요?,임대로 상가주택이 아니라 상가 나온 게 있는데 저 바로 밑에 빵집이 나와있습니다
6414,지금 버스로만 이동을 하셔야 되는 부분이신가요,아니오 버스랑 지하철이랑 이렇게요
6453,지금 바로 오시죠?,아니요 시간은 좀 걸립니다.
6459,지금 바로 계산해야해요?,아니요 일단 식사하시고 계산하세요
6512,지금 그 외국 분이 방문을 안 하시는 건가요 선생님,아니요 방문하셨어요
6557,지갑을 버스에 놓고 내려가지고요,버스번호 한번 조회해서 제가 안내 도와드릴텐데 지금 보통 분실물은요 저희시청이나 구청에서는 안타깝게도 관리하고 있지 않고요 해당부분에서 있어서는 차 승객이 주워 가지 않는다면 기사측에서 버스회사에 모두 다 모아둡니다. 그래서 버스회사로 한번 문의할 수 있도록 전화번호 제가 조회해서 같이 드릴거구요
6590,중학생이면 전공 생각하시는 거예요?,"아니, 전공은 아니고 취미로"
6669,중간에 멈춰두고 쉴 수 있나요?,아니요 그건 불가능합니다
6674,중간 매운맛으로 주세요 공깃밥이 나오나요?,아니요 추가하셔야 합니다
6709,주촌에 있는 #주소#인가요?,"아뇨, #주소# 맞은편에 있는거요"
6720,주차할 수 있는 공간은 있나요?,아니요 주차할 수 있는 공간은 없습니다
6734,주차장이 여기서 멀죠?,아뇨 바로 뒤에 있어요
6885,주소는 뭐 // 일단 개인 승용차이신가요 선생님,아니요 이거 법인이거든요
6930,주민등록등본이나 호적등본 갖고 가야 돼요 ,개명을 하셨다면 그런 부분이 필요한데요 그거 아니시면 그냥 신분증만 가져오시면 되세요
6983,주문은 저기 가서 해야 되나요?,아니요 주문 결정하시고 불러주시면 돼요
6989,주문은 가능할까요?,아니요 품절이에요
6992,주문도 되나요?,아니요 그건 이제 주문이 안돼요
7090,죄송한데 카드는 되나요?,"아뇨, 카드는 안돼요"
7141,종이컵도 따로 오는가요?,아뇨 종이컵은 따로 없는데 없으면 종이컵 한 줄 같이 나가면 돼요
7206,좀 더 큰 건 없나요?,아니면 이것도 많이 찾으시는 제품이에요
7216,좀 더 낮은 거는 없나요?,이런 플랫 아니면 슬림한 거 많이 신어요
7287,조식비가 포함된 가격이에요?,"아니요, 조식비는 별도에요"
7290,조식도 주시는 거예요?,비즈니스 모텔이라서 밥 종류는 아니고 토스트 같은 게 나가요
7303,조식 포함되나요?,아니요 1인당 5천 원 추가돼요
7454,제품은 외국제품 써요?,"아뇨, 국산제품입니다"
7471,제조용법이 다른 거에요?,다른 건 아니고 아메리카노는 기계를 사용해서 고온 고압으로 내리는데 오늘의 커피는 드립 기계로 내려요
7509,제일 고가가 32만원?,아뇨 더 비싼 거 있어요
7547,제가 직방에서 제품번호 보고 왔는데 해당 방이 있나요?,아뇨 그 방은 방금 나갔습니다. 
7617,제가 시킨 거랑 똑같은 거예요?,아니요 저거는 소스가 뿌려져서 나와요 시키신 거는 소스 따로 나와요
7774,정 사이즈인가요?,아뇨 신발이 커서 한 치수 작은 거 신으시면 맞습니다
7775,정 사이즈로 나온 옷인가요?,아니요 넉넉하게 나온 옷이에요
7776,젓가락은 혹시 대나무 젓가락 사용해 주시나요?,아니요 그런 건 안 씁니다
7781,젓가락은 넣어주시는거에요?,아니오
7885,전에도 다른 캠프 가본 데 있나요?,아뇨
7979,전부 다 오천원이에요?,다는 아니고 개당 오천 원이에요
7981,전부 다 오십 프로에요?,아니요 일부 품목이요
8002,전공할 애들이에요?,아뇨 취미로 하는 애들이 더 많아요
8005,전골 종류 1인분도 주문이 되나요?,아니요 2인분 이상부터 주문 가능합니다
8016,적립하실 전화번호 등록하신거 있으세요?,아뇨 적립은 몇퍼센트 되나요?
8018,적립하고 할인카드 있습니까?,뉴발란스 어플 회원가입하시면 할인 가능하고요 아니면 적립 가능해요
8030,적립이나 할인카드는 되는가요?,아니오 안돼요
8058,적립 하시겠어요?,아니요 
8061,적립 쿠폰 있으세요?,아니오 하나 만들어 주세요
8076,저희들 한참 기다려야 하나요?,아니요 금방 나와요
8087,저희가 우유 배달 같은 거 하면은 전달은 가능한가요?,본인이 가지고 오든지 아니면 갖다 놓고 가면 제가 줄 수는 있습니다
8171,저쪽에 있는건 아이스크림이죠?,아니요 떠먹는 케이크에요
8175,저쪽 신발은 더 비싼가요?,"아니요, 가격은 똑같아요"
8207,저런 거는 카피죠?,카피가 아니고 아널드바신 정품입니다
8216,저당권 설정은 되어 있나요?,아뇨 등기부등본 보여드릴게요
8272,저녁에는 가격이 달라지는 거에요?,아뇨 런치 때도 이 가격으로 드실 수 있어요
8334,저기 육수 캔이라는 거는 다 파시는 거예요?,판매용이 아니고 전시용이에요
8371,저고리 수선비가 오만 원 이상 드나요?,"아뇨, 저고리 수선비는 보통 오만 원입니다"
8444,저 펌 하려면 오래 기다려야 하나요?,아니요 바로 하실 수 있습니다
8447,저 택시에서 그 지갑을 핸드폰을 분실했어요.,카드결재 하셨다면 오늘 바로는 그 바로 확인이 조금 어려운데요 그 오늘 사용하신 거는 내일 내일 익일날 유페이먼트라고 이제 그 회사에서 선생님께서 조회를 하실 수가 있구요 아니시다면은 카드회사쪽으로 전화를 해서 일단
8500,저 오토바이 남바가 사십칠 저 공팔구칠입니다. 인데 이게 차량이 이년 정도됐는데 정기검사가 나왔네요 거 아니 검사가 사년마다 한번 씩 있는 걸로 알고 있는데 벌써 나왔나 싶어서 내 물어 볼라고 전화했는데,우선은 지금 저희 콜센타에서 확인되는 부분은 아니고 검사 관련 해 가지고 확인해보실 수 있도록 선생님 관할구청에 교통과 전화번호를 제가 하나 안내 도와드려도 괜찮으시겠습니까?
