,question,answer
8520,저 신발 만원에 해주실 수 있어요?,"아니요, 저거 손해보고 팔고 있어요"
8640,장화로요?,아니요 신발 편한 거 봄 신발
8653,장애인 단독으로 하신다는 말씀이세요,아뇨 고객단독으로요 장애인 빼고요
8662,장미 장식 이런 거는 다 18k에요?,아니요 다 순금이에요
8674,장갑은 인원수만큼 해요?,아니요 하나만 주시면 됩니다
8697,잠시만 여기 앉아서 마시다가 들고나가도 상관은 없죠?,오래만 앉아계시는거 아니면 괜찮아요 
8739,잔치국수 냉으로 돼요?,아뇨 냉은 안돼요 온면이에요
8754,작은 걸로 드릴까요?,아니요 큰 걸로 주세요
8757,작은 거는 세일 안 하나 봐요?,아니요 세일해서 13만 8천 원입니다
8764,작년에 팔았어야 더 많이 받겠네요?,"여기만 그런게 아니라, 다른 곳도 다 집값이 내려갔어요"
8765,작년 십이월에 시작하셨어요?,아뇨 이월에요
8781,자주 아프신가요?,아니요 자주는 아니고 가끔 이런 것 같아요
8785,자전거 캐리어만 가져가는 거예요 자전거도 같이 가져가는 거예요,아니요 캐리어 부착해서 오시면 되세요.
8851,자리 있어요?,아니요 만석입니다
8871,자리 아무 데나 앉으면 되나요?,아니요 이쪽에 앉으시면 됩니다
8900,자동차 번호만 변경이 가능해요?,아 그러시군요 선생님 정말 안타깝지만 저희가 현재는 선생님께서 이제 해당 번호가 마음에 들지 않은다고 해서 변경하실수 있는 시스템은 아니구요 선생님께서 머 번호가 우선은 훼손이 되어서 머 이부분을 분실을 하셨다거나 아니시다면 머 선생님께서 시도 시도간에 이사를 하셨다거나 또는 범죄에 노출이 되었다거나 이런 특별 사유가 있으실경우에 번호 변경이 가능합니다
8923,자동이체가 안 됩니까 되죠.,자동이체 신청은 은행에 직접 가셔 가지고 직접 해 주셔도 되시구요 아니면 제가 요금 부서 직통 번호 알려드릴 테니까요 따로 신청해 주셔야 되십니다.
8999,입시도 합니까?,입시까지 아니고요 중등까지는 하고 있어요
9058,일주일에?,아뇨 한 달에요 재료비도 다 포함되어 있어요
9068,일주일에 삼일은 되나요?,아뇨 매일 나오는 반으로 하셔야 해요
9096,일주일에 3일인가요?,아뇨 5일 다해요
9141,일요일은 쉬죠?,아니요 열어요
9143,일요일은 쉬시는?,아니요 쉬는 날 없어요
9149,일요일에도 영업하시나요?,"아니요, 일요일은 영업하지 않습니다."
9162,일요일도 하세요?,아뇨 닫아요
9172,일요일도 영업하나요?,"아뇨, 일요일은 쉽니다"
9176,일요일도 영업 해요?,아뇨 일요일은 안 해요
9203,일본에서 자재 가꼬와서 만드셨어요?,아뇨
9257,일반 개인 자가용 차량 이전하는 서류로 안내해 드릴거고요 그러면 선생님 양도 양수인 두분 다 방문이 가능합니까?,아니오
9268,일대일 수업은 아니고 여러 명 앉아 있으면 선생님이 다니면서 수업을 하시나요?,학원은 일대일은 아니죠 유치부들 같은 경우는 그룹식으로 모아서 하는 편이거든요
9271,일단은 선생님 두 분 간의 매매 금액은 있는 부분이십니까?,아니요
9276,일단요 지금 세일 기간은 아닌가 봐요?,세일 기간은 아니고 현금하시면 5프로 할인해드려요
9328,인테리어는 새로 하실 건가요?,아니요 이왕이면 인테리어가 잘 되어 있는 곳이었으면 좋겠습니다
9347,인조 가죽인가요?,아니요 천연가죽입니다. 
9380,인사돌 플러스 270정짜리 있어요?,"아니요, 270정은 없습니다"
9391,인근에 사세요?,"아뇨, #주소#에 살아요"
9407,인감도장은 뭐 때문에 필요하죠.,오시면은 그 양도증명서 고 작성을 하시는데요 양수인 란에 인감도장이 꼭 날인이 되어야 됩니다. 아니면 그 양도증명서를 하나 출력을 하셔서 양도인 란에 인감도장을 정확하게 찍어오셔도 되세요
9408,인감도장요,인감도장아니고 일반 도장 그냥 막 도장 가능합니다.
9711,이런걸 플랫슈즈라 그러나?,플랫슈즈까지는 아니고 단화라고 하지요
9826,이런 건 발 시려울까요?,사계절 신는 거라 추운 건 아닙니다
9831,이런 건 가죽이에요 비닐이에요?,비닐은 아니고 가죽만큼 좋은 재질이에요
9844,이런 거는 운동할 때 드는 가방인가 봐요?,아니요 그냥 쓰셔도 돼요
9878,이런 거는 어때요?,아뇨아뇨 그거 말고
9892,이런 거 해보셨어요?,아뇨 7살 때 1년 정도 했었어요
9912,이런 가방 큰 거 있어요?,여기요 아니면 이거요
9934,이게 프리 사이즈인가요?,아니요 육육사이즈부터 있어요
9943,이게 체인인가요?,전에 수제화할 때는 체인점이었고 지금은 아닙니다
9957,이게 정가에요?,정가는 아니고요 이게 아울렛 가격이에요
9963,이게 일인 식사에요?,아뇨 초밥이 한 개씩이거든요
9966,이게 이십프로 해서 그거에요?,아니요 여기서 또 할인해요
9967,이게 이미테이션이에요?,아뇨 다 은이에요
10000,이게 사이즈가 다 작죠?,아니요 맞습니다
10007,이게 백짬뽕이에요?,아니요 우동이에요
10022,이게 많이 파였어요?,아니요 많이 파이지는 않았어요
10035,이게 그거 화학냄새 때문에 밖에 널어놔야 되죠?,아뇨 그래 안하셔도 됩니다
10042,이게 가죽인가요?,아니요 이거는 가죽은 아니에요
10044,이게 가죽이에요 ?,가죽 아니에요
10074,이것도 여성 제품이에요?,아니요 이거는 남성 제품이요
10227,이건 가죽이에요?,아니요 여기 있는 것들은 저렴한 거라 가죽이 아니에요
10265,이거는 할인해요?,여기는 할인 아니고요
10329,이거는 원피스 형으로 나온 거에요?,아니요 짧은 블라우스 형식입니다
10335,이거는 오땡큐고?,오땡큐는 벤토 나이트라는 돌가루가 이액에 들어가 있어 완전 천연이 아니죠
10338,이거는 에나멜인가요?,아니요 가죽이에요
10434,이거는 소재가 가죽이에요?,아니요 여기 가죽은 없어요
10479,이거는 배낭처럼 메면 되나요?,이렇게 들고 다니셔도 되고 아니면 이렇게 하셔도 돼요
10502,이거는 물 저 먹으라는 거예요?,그거는 아니에요
10549,이거는 남자 거예요?,아니요 다 여자겁니다
10607,이거는 50프로 할인하는 거에요?,아니요 여기도 더 있어요
10609,이거는 230 있어요?,아니요 그거 한 개 남았어요
10623,이거 합피지예?,아니요
10653,이거 키플링인가요?,아니요
10707,이거 은침인가요?,이 제품은 은침은 아니에요
10714,이거 외국 브랜드에요?,아뇨 한국 브랜드에요
10753,이거 썰어주죠?,아뇨 안 썰어서 나가요 칼 드릴게요
10788,이거 세무예요?,세무는 아니고 그냥 합성피혁입니다
10841,이거 미끄러질 거 같은데?,아니요 밑에 미끄럼 방지가 다 되어있어요
10862,이거 말씀하시는 건가요?,아니요 면으로 된 거요
10872,이거 뜨거운 물 인가요?,아뇨 그냥 밀면은 차가운 물이고 뜨거운 버튼 누르고 밀면 뜨거운 물입니다
10882,이거 되죠?,이 카드는 할인되는 카드는 아니세요 제로 카드는 포인트 있으시면 포인트 차감되는 카드고요
10886,이거 대구분이 사시는 건가요,아니요 저 경북
10908,이거 끈도 달려있어요?,아니요
10937,이거 각이 딱 잡혀있어요?,아니요 각 잡히는 디자인은 아니에요
10939,이거 가죽이에요?,아니요 가죽이면 7만 9천원이 나올 수가 없어요
10940,이거 가죽이에요?,아니죠 삼만 원대인데요
10972,이거 230 있는데 어떠세요?,제 스타일이 아니어 가지고 
11044,이 크로스백은 가죽이에요?,아니요 가죽은 이 금액으로는 안 나와요
11050,이 쿠폰 결제하려고 하는데 그러면 결제가 안 되나요?,아니요 케이크를 다른 케이크로 고르 실 수 있어요
11161,이 제품은 약이에요?,아니요 의약품은 아니고 보조식품으로 철분 강화에 좋은 제품입니다
11177,이 제품은 가죽이 좀 다르네요?,그 제품은 가죽이 아니에요
11208,이 제품 실버로도 나오나요,아뇨 18k만 있습니다
11254,이 원피스는 한 가지 색깔밖에 없나요?,아니요 검은색과 흰색 두 가지 있어요
11258,이 원피스 사이즈 L 있나요?,아니요 L은 지금 품절입니다
11341,이 옷은 세트 상품인가요?,아니오 따로 구성되어 있습니다
11345,이 옷은 사이즈가 프리인가요?,아니요 S사이즈부터 XL 사이즈까지 있습니다
11492,이 안에 돈까스가 있어요?,아뇨 이건 돈까스 안들어가있어요
11509,이 신발이 그 부스트 쿠셔닝이라 카는 거예요?,"아니요, 부스트 쿠셔닝은 이거에요"
11514,"이 신발은 여자애들 거고, 남자도 신어요?","아뇨, 남자 신발은 따로 이층에 있어요"
11525,이 신발은 너무 젊은 느낌 아닌가요?,아니요 이게 가죽에 포인트를 준 거라 고급스러워 보여요
11532,이 신발도 젊은 사람들이 신는 거 같네요?,"아니에요, 나이 드신 분들도 신으세요"
11534,이 신발 젊은 사람도 많이 사가요?,"아니요, 젊은 사람들은 별로 사가지 않아요"
11569,이 스웨터 재질은 세탁기를 돌려도 되나요?,아뇨 손빨래를 하셔야 해요
11646,이 보조가방은 천 만드신 거예요?,아니 직접 만든 건 아니에요
11702,이 목걸이는 길이 조절이 가능한가요?,아니요 이 상품은 길이 조절이 되지 않습니다
11710,이 모델은 색상이 이거 하나인가요?,아니요 레드와 화이트도 있습니다
11723,이 맨투맨은 컬러가 이렇게 3가지인가요?,아니요 원래 총 4컬러인데 oo 컬러 하나가 품절입니다
11726,이 매장에 데바데가 깔려있나요?,아니요
11742,이 땅에 건물을 지을 수 있나요?,"아뇨, 지을 수 없습니다."
11776,이 다이아에 색깔을 다 넣은건가요?,아니요 원래 다이아 색깔이 그래요
11778,이 니트 프리사이즈인가요?,아니요 사이즈 다양하게 나와요
11811,이 귀걸이는 은인 가요?,은 제품은 아니에요
11846,이 가죽 가방은 가볍네요?,"그 가방은 가죽 가방이 아니에요, 가죽 가방은 이런 제품이에요"
11892,"이 가방은 가죽도 아닌데, 왜 더 비싸요?",이 가방 가죽은 좋은 가죽이 아니라서요
11946,이 가격에 조식이 포함된 건가요?,"아니요, 조식은 추가 결제인데, 두 분이 삼만원 추가하면 뷔페도 이용 가능하세요"
11996,음식도 미리 전화로 주문해야 하나요?,아니요 음식은 오셔서 주문해야 합니다
12042,음식 가지고 가도 괜찮나요?,주류만 아니면 괜찮습니다
12124,음료나 커피는 셀프예요?,아니요 가져다드릴게요
12158,음료 가져가시나요?,아니요 먹고 갈 거에요
12164,음 코란도씨는 승합차량에 해당되시는 건가요,아니요 승율일이
12170,음 지금 차량을 그러시면 지금 현재 차주분 하고 차를 새로 받으시는 분 두 분 같이 방문하실 예정이신가요,아니요.
12172,음 잠시만 기다리십시오. 실례지만 그 실제로 매매 금액이 따로 있습니까?,아니요. 없는데 금액 그냥
12198,음 그러면 이게 공동요금이라가 제가 이걸 넣고 출력하는 방법은 없어요. 이거 보냈다 카는 거,영수증을 따로 선생님이 출력하실 수 있는 부분이 아니라 수납 확인 후에 저희 쪽으로 재요청하셔야 되시거든요 요금 부서 전화번호 안내 도와드리겠습니다. 육백칠십에요 삼천육백이십번입니다.
12203,음 그 지금 있는 차주에서 이전인데 꼭 대구에서 해야돼요,아닙니다 선생님 전국어디에서나 가능합니다
12204,음 그 법인서류가 그 제가 그 샀는 쪽에 그 그 사람들도 나와야 되나요,아니요. 선생님이 서류 받아서 오시면 됩니다.
12222,율하동 말곤 없어예 좀 더 가까운 데,선생님 죄송합니다만 대구에는 선생님 이게 뭐 구 별로 있거나 뭐 이렇게 차량등록사업소가 많은 게 아니라서
12283,유료주차장이요?,아뇨 건물 뒤에 그냥 세우시면 돼요
12357,웨이팅 있나요?,아니요 없습니다.
12373,월세랑 관리비 합쳐서 40 이하인 게 있나요?,아니요 없습니다.
12387,월세가 최소 백오십만 원 가량은 해야 되는 거죠?,"백오십만 원 정도가 아니라 월세 이백삼십만 원, 이백오십만 원은 줘야 하고, 지하철 올라오는 곳에 월세로 이백팔십만 원짜리 있어요"
12449,원장님은 영어 전공하셨어요?,아뇨 전 컴퓨터 전공입니다
12527,원래 드시던 것 있나요?,아뇨 딱히 없어요
12528,원래 금은방 장사를 하고 계세요?,"아뇨, 우리 아저씨가 친구가 있어서요"
12536,원두는 브라질산인가요?,아니요 페루산입니다
12539,원두는 갈아서 파시나요?,아뇨 원두는 안 팔고 있습니다 
12563,"운동화를 한 번에 세 개정도 맡기려고 하는데, 세 개정도 맡기면 더 깎아주나요?",운동화는 할인 품목이 아닙니다
12577,운동화 찾으세요?,아뇨 
12597,운동 쪽으로 진로 생각하고 계신 거예요?,아니요 그건 아니고
12618,우선은 외부번호판장치를 먼저 부착하고 예 그 외부번호판장치가 그 부착된 차량을 가지고 방문하셔서 외부번호판 교부를 받으시면 되는데 그 차주님 내방하실 계획입니까?,아니요아니요 차주는 아닌 데
12621,우선은 번호판을 분실하셨다 하시면 선생님 경찰서로 분실 신고는 하셨나요,아니요. 안했어요. 오늘 아침에 확인 후에 알았어요.
12653,우리가 이쪽으로 옮길까요?,아니요 괜찮아요 여기 4인석이라서요
12750,요즘 피파 이벤트 카드 하던데 진행하고 있나요?,아니요 피파 이벤트는 오늘부로 종료입니다
12853,"요런 것도 많이 하더라. 큐빅 달렸고, 그죠?",큐빅이 아니고 징이에요
12867,요기 배달료 포함인가요?,아니요
12873,요금은 회원가입을 해야만 사용이 가능한가요?,아니요 비회원도 사용 가능합니다
12907,요금 지불은 카드로도 가능한가요?,아니요 저희는 카드 단말기가 없어서 불가능합니다
12974,요거 스트라이프 베스트 이거 겨울용인가보다 그죠?,아니요 이거 봄신상 입니다
13085,요 신발은 15만 9천원 다 받죠?,아뇨 그건 정가고 그 밑에 한 줄이 할인가에요
13166,외상 가능하나요?,아니요 안됩니다
13167,외부음식도 주문할 수 있나요?,아니요 외부음식은 주문하실 수 없으세요
13510,오메가3는 보통 어른들이 먹는 거 아닌가요?,"아뇨, 오메가3는 눈 건조 완화도 되고, 혈액순환에도 도움을 줍니다"
13537,오렌지 주스는 있나요?,아니요
13553,오래 기다려야 돼요?,아뇨 금방 됩니다
13610,오늘 주무셔야 되죠?,오늘부턴 아니고
13613,오늘 제품 수령 가능한가요?,"아니요, 오늘은 어려울 것 같습니다."
13687,오늘 나 원장님 나오셨어요?,아니요 오늘 나 원장님 쉬시는 날이세요
13688,오늘 꼭 온돌 룸에서 묵어야 하면요?,온돌 룸은 내일부터 투숙이 가능하세요. 아니면 패밀리 트윈 객실이 싱글 침대 하나랑 더블 침대 하나 들어가는 객실이 있어요
13713,옛날 달성군청 앞에 버스정류장에 있는 손님들이 기다릴 때 앉을 수 있는 의자 수평이 지금 삐딱해요 그것 좀 시정하세요.,건너가 아니고 앞쪽이 맞으시죠. 선생님 해당부서로 전달을 해서요 시정조치될 수 있도록
13716,예전엔 6천 원에 했던 것 같은데 가격이 올랐나요?,아뇨 드라이 가격 올리지 않았습니다
13717,예전에는 체인점이였어요?,처음에 오픈할 때는 체인이였는데 지금은 아니죠
13723,예예 이번엔 그러면 양 같이 양도를 같이 받으시는 선생님께서는  일반인이 맞으세요 취득세 혜택때문에 국가유공자는 아니시죠?,아닙니다.
13760,예약하신 건가요?,아뇨
13761,예약하시고 오셨어요?,아니요
13766,예약하셨나요?,아닙니다
13862,예고를 보내실 건가요?,그거는 아니고 취미를 몇 달 배우면 좋겠다 싶어서요
13888,예 혹시 방문은 선생님 두분 다 가능합니까?,아뇨 제 혼자 가야 되지 싶은데
13889,예 혹시 뒤에 번호판분실하셨어요 앞에 번호판분실하셨어요,아니 앞에꺼요
13903,예 테이크아웃 하면 더 저렴해요?,아니요 가격은 똑같습니다
13967,예 지금 자동이체 신청 해주시고,아 그럼 자동이체 해지는 저희 전화 콜센타에서 바로 할수 있는게 아니라 수도사업소 요금계 담당자랑 통화를 해보시면 가능하시거든요
14115,예 어 쌤 이 차량이 아이사십 살룬이라는 차가 맞습니까?,아니요. 큐엠 삼성 큐엠파이븐데
14141,예 아 도장이 지금 없는데 사인은 안 됩니까?,사인은 안 됩니다. 본인이 오시는 경우에만 사인으로 가능합니다. 아니면 어 본인서명사실확인서로 발급을 받으시면 사인하셔도 되거든요
14207,예 서류 안내 다 도와 드렸습니다 저희 평일 오전 아홉시부터 오후여섯시까지 근무인데요 점심시간없이 교대근무하고 있지만 오후 시간에는 대기자분 있을 수 있기 때문에 늦어도 다섯시삼십분 이전까지 방문해 주시고요 혹시 선생님 차량에 번호앞에 대구지역으로 시작하는 번호판은 아닌가요,아닙니다
14253,예 두 개 같이 다 낼건데 카드로 낼건데,카드로 납부를 하실려면 선생님께서 체납고지서 가지고 있으셔야되구 체납고지서와 당월고지서를 가지고 은행에 가셔서 고지서로 납부하시는 그 에이티엠기 아시죠 그걸로 하시던지 아니면은 인터넷으로 사이트에서 가능하세요 바로 저희가 여기에서 카드납부는 안되시거든요 수도요금은
14269,예 근데 그 민원실에 그 여권 사진 찍어주는데 있나요 ,아니요 민원실에는 따로 없구요 시청부근에 보면은 사진관이 몇 개 있기는 한데요
14408,"옆 건물은 상권도 좋고 위치도 좋은데, 비어있는 모퉁이 건물 시세가 비싼데 한번 가보시겠어요?",아니요 그냥 잠깐 알아보고 있어요
14412,영천 학생이세요?,"아뇨, 경대"
14462,영어 수업 말고 다르것도 하나요?,아뇨 영어만 전문적으로 해요
14464,영어 듣기는 혼자 그냥 반복하면서 집에서 하는거네요?,아니요 여기서 합니다
14467,영양제를 처음 드시는 건가요?,아니요 다른 영양제 많이 드셨죠
14469,영양제라는게 보통 비타민인가요?,백프로 비타민은 아니지만 팔십프로는 비타민입니다
14485,영양까지 하실 건가요,아니요 염색만 하려고 하는데요
14529,영수증 필요하시나요?,아니요 버려주세요
14613,영수증 드릴까요?,아니요
14614,영수증 드릴까요?,아니요 버려주세요
14615,영수증 드릴까요?,아니요 영수증 괜찮아요
14616,영수증 드릴까요?,아니요 영수증은 괜찮습니다
14644,염색이랑 파마를 같이 할 수 있나요?,아니요 손상도가 심해질 수 있어서 염색이나 파마 중 한 가지만 하시는 걸 추천드릴게요
14664,염색에 혹시 기장 추가 있나요?,아니요 기장 추가는 따로 없습니다
14678,염색도 같이 할 수 있을까요,아니요 머리가 상하셔서 같이 시술은 힘듭니다
14776,연계된 렌터카 회사가 있나요?,"아니요, 연계된 렌터카 회사는 없어요"
14791,여학생인가요?,아뇨 남자
14834,여자아이죠?,아니요 남자애요
14838,여자분들 신발 찾으세요?,"아니요, 우리 남자 애 사줄건데"
14839,여자분들 등산화 발목까지 올라오는 거 찾으세요?,"아니요, 올라오는 거는 불편해서요."
14840,여자를 위한 유산균이 별도로 이 YY유산균이구나,아뇨 YY유산균은 남자용이고 밑에 이 XX유산균이 여자용입니다
14851,여자 선생님이 관장님이세요?,아뇨 저는 사범님이에요
14871,여보세요 저희 수도요금이 아직 안 나와 가지고요,선생님 아니시면은 제가 지금 그 수성구 그 관할수도 요금 요금 쪽으로 바로 한 번 연결 도와드릴게요 잠시만 기다려 주세요 육칠공에 삼사이영번으로 연결하겠습니다.
14974,여기서 만드시는 거예요 ?,아니요 서울에서 만들어 옵니다
14981,여기서 귀 뚫을 수 있나요?,아니요
14995,여기도 카카오페이 이런 거 결제할 수 있어요?,아니요 저희가 지금은 결제할 수 있는 시스템이 안 들어왔어요
14997,여기도 적립돼요?,아뇨 안돼요
15006,여기다 넣으까요?,아니요 포장봉투에 넣어드릴게요
15013,여기는 할인이나 적립되는 카드 뭐죠?,CJ ONE 적립되고 아니면 CJ카드라고 붙여져 있는거요
15092,여기는 배달도 돼요?,배달은 안되고 포장만 가능하세요 아니면 퀵으로는 해드려요
15158,여기가 여기보다 좀 비싼 가요?,아니요 가격대가 다 섞여 있어요
15172,여기가 남자 코너가 맞나요?,아니요 이 곳은 여성분들을 위한 코너입니다
15191,여기 회원가입을 해야지만 이용할 수 있나요?,아니요 회원가입을 하지 않더라도 이용할 수 있습니다
15216,여기 혼자 왔는데 먹어도 되죠? 여기서 주문받아요?,아니요 앉아계시면 해드릴게요
15219,여기 혹시 후불도 가능할까요?,아니요 저희는 선불만 됩니다
15284,여기 포장되있는건 모듬초밥이에요?,아니요 비세트요
15326,여기 커플석은 있나요?,아니요 커플석은 없습니다
15333,여기 카카오페이나 온누리상품권도 받으실까요?,아뇨
15353,여기 초등학생만 하나요?,아뇨 중학생까지 해요
15356,여기 체인점인가요?,아뇨 저희는 체인점이 아닙니다
15358,여기 체인점이에요?,아뇨 개인 카페입니다
15359,여기 체인점이에요?,아니요 지금은 아니에요
15360,여기 체인점이신가요?,아닙니다
15389,여기 주차할 수 있는 공간은 있어요?,아니요 주차 공간은 없습니다
15438,여기 적립되나요?,아니요 적립은 따로 없어요
15452,여기 있는 옷들도 다 큰 치수죠?,저 옷은 큰 치수 아니에요
15454,여기 있는 신발들은 280 사이즈 다 있죠?,"아니요, 다 있진 않아요"
15476,여기 일식 전문점이에요?,아니요 일식도 있고 한식도 있고 다 있어요
15628,여기 세탁 수거도 해주시나요?,아뇨
15672,여기 브랜드가 있어요?,아뇨
15710,여기 배달도 되나요?,아니요 배달은 안 해요
15718,여기 밥 볶아 먹으려면 이 인분 시켜야 해요?,아니요 오천 원 시키시고 볶으시면 돼요
15813,여기 매장에 나이키 취리히 블랙 240사이즈 재고 있나요?,아니요 현재 재고가 다 소진되어 따로 주문하셔야 합니다
15882,여기 김밥이 매워요?,김밥이 아니라 어묵이에요
15913,여기 계추하려면 미리 전화를 걸고 해야돼요?,아뇨 상관없어요
15926,여기 건물에 주차할 곳은 있어요?,아니요 주차할 곳은 없습니다
15975,여권이중국에사는사람인데요여권이만료됐는데십일년으로만료됐는데새로낼라카면뭐지참해야될게뭡니까?,그러면 이제 중구청 제외하고 가까운 구청민원실이나 아니면은 시청민원실에 방문하셔가지고 신규로 발급해 신청해 주시면 되는데 오실 때 이제 선생님 그 본인 직접 방문하시고 신분증하고 새로 찍은 여권용 사진 두 장이 필요합니다.
15995,여권 유효기간은 남아 있습니까?,아뇨 지났습니다.
16014,여권 기한이 다돼가지고 새로 재발급 해야되가지고요,아 그러세요 선생님 그런 경우는 신규 발급하고 동일하구요 저희 머 시청이나 아니면 중구청만 제외하고 가까운 구청 방문을 해주시면 되는데요
16015,여권 갱신 할라고 그러는데요,여권이 기존에 있으시다고 하더라도 기간이 연장되는 개념은 아니구요 선생님께서 다시 재발급을 해주셔야 합니다
16030,여 불로동 삼 다시 삼십사번지 여 강변도론데 왜 자꾸 공항가는 사람이 여 거주자 우선 지역 아닙니까?,지금 선생님 정말 죄송하게도 지금 해당차량이 불법주정차는 아니고 해당 그 차량에 있어서 거주자 우선 구역인지 아닌지를 한번 먼저 확인하고 그런 부분이라면 머 어떻게 조치가 되지 않는지에 대해서는 선생님 저희 평일날 보통 시청에 주차계획팀이라든가 이런 쪽으로 조례를 먼저 한번 문의를 해 보셔야 될 거 같애요.
16034,엠보다 더 작은 거는 있어요?,아니요 엠보다 작은 사이즈는 없어요
16102,에그마요라는 건 달걀을 스크램블 한 거예요?,아뇨 삶은 계란을 으깨가지고 넣어요
16557,어학 상담도 하시나요?,"아니요, 어학 상담은 하지 않아요."
16573,어제 술 드셨나요?,아니요 술은 안 먹었어요
16592,어머니께서 덩치가 좀 있으십니까?,아니요 저보다 조금 작으세요
16619,어른들이 좋아하는 스타일이 뭔가요?,"어른들은 보통 한우 불고기 아니면 클래식 치즈 버거, 좀 매콤한 거 좋아하시면 이거요"
16930,어떠세요? 작아요?,아뇨 작지는 않는데 
17145,어 혹시라도 이제 저희 선생님 차량 가져가실 거 맞으시죠,아니 차는 안가가고
17193,어 예 선생님 혹시 차량번호 말씀은 가능하시겠습니까?,아뇨 아직 차 등록은 안 했는데
17196,어 여권발급이라면 선생님 이번에 여권 처음 신청하시는겁니까?,아니요 제가 한 아 이십년가까이 전에 한번 간적 있어요
17198,어 어제 그거 한 열 시쯤에 급행칠번에서 그거 주민등록증이랑 잃어버렸는데 혹시 없어요. 찾은 찾은 거,아 쌤 죄송합니다. 저희가 그 분실물 관련해서는 저희쪽에서 따로 분실물 센터가 운영이 되는 것은 아니구요 일반적으로 이제 그 차량이 종점에 들어가면은 기사분께서 차량안에 있는 분실물을 모아가지고 버스 회사에서 보관을 하고 있거든요 가장 먼저 버스 회사쪽과 통화를 해 보셔야 되는데요
17208,어 선생님 일단 차 번호는 정확하지 않은 것으로 확인이 되고요 선생님 대구가 들어가는 옛날 초록색번호판입니까?,아닙니다. 흰판입니다.
17289,양손 장갑이 끈으로 연결되어있는 상품이 있나요?,아니요 고객님 아쉽지만 저희 상품에는 없습니다
17297,양복은 허리 줄여주나요?,"아뇨, 바지는 줄여드립니다"
17343,양념소스만 더 챙겨주신다 혹시 온누리 상품권도 돼요? 김해 온누리상품권,아니요 저희는 안됩니다
17348,양갈비는 잘 안 나가요?,아니요 양갈비도 잘 나가고 꿔바로우도 잘 나가요
17351,양 조금 더 주고 그런거 있어요?,아니요 담아준다고 더 주는거 없습니다
17410,약 이름이 레드클로바에요?,아뇨 성분이에요
17413,약 드시는 거 있으신가요,아뇨 없어요
17441,앵클부츠 스타일 찾아요?,아니 부츠 말고
17459,앱 할인되는가요?,아뇨
17551,앞하고 뒤 모두 다 이제 훼손이 됐나요 선생님,아니요 그냥 앞에 거만 지금 아까 아까 거 사고나면서 남바가 좀 다 찌그러졌어요
17574,앞에 저거 만원 카는 거는 앞에 거 긴 신발만 만원이에요?,"아니요, 여기 짧은 게 만원이에요."
17588,앞머리만 파마를 하고 싶으신가요?,"아니요, 머리 전체를요"
17592,앞머리는 이 정도면 될까요?,아뇨 조금만 더 잘라주세요
17595,앞머리 자르시면 밑에 웨이브가 다 잘라나가는데 괜찮으세요?,아니요 그냥 앞머리는 안 자를게요
17619,알밥은 일식이에요?,알밥은 그냥 김치볶음 들어가고 알 들어가고 야채 쪽파 들어가고 날치알이 들어가니까 일식은 아니죠
